"jnr_sm_id","lead_id","num_stages"
"JNR1001MG","USR1001","1"
"JNR1001MG","USR1002","4"
"JNR1001MG","USR1003","2"
"JNR1001MG","USR1004","2"
"JNR1001MG","USR1005","2"
"JNR1001MG","USR1006","2"
"JNR1001MG","USR1007","4"
"JNR1001MG","USR1008","2"
"JNR1001MG","USR1009","2"
"JNR1001MG","USR1010","2"
"JNR1001MG","USR1011","4"
"JNR1001MG","USR1012","4"
"JNR1001MG","USR1013","4"
"JNR1001MG","USR1014","2"
"JNR1001MG","USR1015","2"
"JNR1001MG","USR1016","2"
"JNR1001MG","USR1017","4"
"JNR1001MG","USR1018","2"
"JNR1001MG","USR1019","2"
"JNR1001MG","USR1020","2"
"JNR1001MG","USR1321","1"
"JNR1001MG","USR1325","1"
"JNR1001MG","USR1326","1"
"JNR1001MG","USR1327","1"
"JNR1001MG","USR1351","1"
"JNR1001MG","USR1352","1"
"JNR1001MG","USR1353","1"
"JNR1001MG","USR1354","1"
"JNR1001MG","USR1355","1"
"JNR1001MG","USR1356","1"
"JNR1001MG","USR1357","1"
"JNR1001MG","USR1358","1"
"JNR1001MG","USR1359","1"
"JNR1001MG","USR1360","1"
"JNR1002MG","USR1021","2"
"JNR1002MG","USR1022","4"
"JNR1002MG","USR1023","4"
"JNR1002MG","USR1024","2"
"JNR1002MG","USR1025","4"
"JNR1002MG","USR1026","2"
"JNR1002MG","USR1027","3"
"JNR1002MG","USR1028","2"
"JNR1002MG","USR1029","2"
"JNR1002MG","USR1030","2"
"JNR1002MG","USR1031","4"
"JNR1002MG","USR1032","4"
"JNR1002MG","USR1033","4"
"JNR1002MG","USR1034","2"
"JNR1002MG","USR1035","2"
"JNR1002MG","USR1036","2"
"JNR1002MG","USR1037","4"
"JNR1002MG","USR1038","2"
"JNR1002MG","USR1039","2"
"JNR1002MG","USR1040","2"
"JNR1003MG","USR1041","2"
"JNR1003MG","USR1042","4"
"JNR1003MG","USR1043","2"
"JNR1003MG","USR1044","2"
"JNR1003MG","USR1045","2"
"JNR1003MG","USR1046","2"
"JNR1003MG","USR1047","4"
"JNR1003MG","USR1048","1"
"JNR1003MG","USR1049","1"
"JNR1003MG","USR1050","2"
"JNR1003MG","USR1051","4"
"JNR1003MG","USR1052","4"
"JNR1003MG","USR1053","4"
"JNR1003MG","USR1054","1"
"JNR1003MG","USR1055","2"
"JNR1003MG","USR1056","1"
"JNR1003MG","USR1057","4"
"JNR1003MG","USR1058","2"
"JNR1003MG","USR1059","1"
"JNR1003MG","USR1060","1"
"JNR1004MG","USR1061","1"
"JNR1004MG","USR1062","4"
"JNR1004MG","USR1063","4"
"JNR1004MG","USR1064","1"
"JNR1004MG","USR1065","3"
"JNR1004MG","USR1066","1"
"JNR1004MG","USR1067","3"
"JNR1004MG","USR1068","1"
"JNR1004MG","USR1069","1"
"JNR1004MG","USR1070","2"
"JNR1004MG","USR1071","3"
"JNR1004MG","USR1072","4"
"JNR1004MG","USR1073","4"
"JNR1004MG","USR1074","1"
"JNR1004MG","USR1075","2"
"JNR1004MG","USR1076","1"
"JNR1004MG","USR1077","3"
"JNR1004MG","USR1078","2"
"JNR1004MG","USR1079","1"
"JNR1004MG","USR1080","1"
"JNR1005MG","USR1081","1"
"JNR1005MG","USR1082","3"
"JNR1005MG","USR1083","2"
"JNR1005MG","USR1084","1"
"JNR1005MG","USR1085","1"
"JNR1005MG","USR1086","1"
"JNR1005MG","USR1087","3"
"JNR1005MG","USR1088","1"
"JNR1005MG","USR1089","1"
"JNR1005MG","USR1090","2"
"JNR1005MG","USR1091","3"
"JNR1005MG","USR1092","4"
"JNR1005MG","USR1093","4"
"JNR1005MG","USR1094","1"
"JNR1005MG","USR1095","2"
"JNR1005MG","USR1096","1"
"JNR1005MG","USR1097","3"
"JNR1005MG","USR1098","2"
"JNR1005MG","USR1099","1"
"JNR1005MG","USR1100","1"
"JNR1006MG","USR1101","1"
"JNR1006MG","USR1102","4"
"JNR1006MG","USR1103","4"
"JNR1006MG","USR1104","1"
"JNR1006MG","USR1105","3"
"JNR1006MG","USR1106","1"
"JNR1006MG","USR1107","3"
"JNR1006MG","USR1108","1"
"JNR1006MG","USR1109","1"
"JNR1006MG","USR1110","2"
"JNR1006MG","USR1111","3"
"JNR1006MG","USR1112","4"
"JNR1006MG","USR1113","4"
"JNR1006MG","USR1114","1"
"JNR1006MG","USR1115","2"
"JNR1006MG","USR1117","3"
"JNR1006MG","USR1118","2"
"JNR1006MG","USR1119","1"
"JNR1006MG","USR1120","1"
"JNR1007MG","USR1121","1"
"JNR1007MG","USR1122","3"
"JNR1007MG","USR1123","2"
"JNR1007MG","USR1124","1"
"JNR1007MG","USR1125","1"
"JNR1007MG","USR1126","1"
"JNR1007MG","USR1127","3"
"JNR1007MG","USR1128","1"
"JNR1007MG","USR1129","1"
"JNR1007MG","USR1130","2"
"JNR1007MG","USR1131","3"
"JNR1007MG","USR1132","4"
"JNR1007MG","USR1133","4"
"JNR1007MG","USR1134","1"
"JNR1007MG","USR1135","2"
"JNR1007MG","USR1136","1"
"JNR1007MG","USR1137","3"
"JNR1007MG","USR1138","2"
"JNR1007MG","USR1139","1"
"JNR1007MG","USR1140","1"
"JNR1008MG","USR1141","1"
"JNR1008MG","USR1142","4"
"JNR1008MG","USR1143","4"
"JNR1008MG","USR1144","1"
"JNR1008MG","USR1145","3"
"JNR1008MG","USR1146","1"
"JNR1008MG","USR1147","3"
"JNR1008MG","USR1148","1"
"JNR1008MG","USR1149","1"
"JNR1008MG","USR1150","2"
"JNR1008MG","USR1151","3"
"JNR1008MG","USR1152","4"
"JNR1008MG","USR1153","4"
"JNR1008MG","USR1154","1"
"JNR1008MG","USR1155","2"
"JNR1008MG","USR1156","1"
"JNR1008MG","USR1157","3"
